"37.5291,127.4978","37.5466,127.5821","37.5308,127.3107","37.4899,127.4917",,
"37.7567,127.3603","37.7719,127.3713","37.7739,127.3571",,,
"37.8940,128.8234","37.8691,128.8452","37.8910,128.8277","37.9069,128.8250",,
"35.4016,127.3869","35.4597,127.6052",,,,
"36.9606,128.3324","36.9595,128.3317","37.0325,128.2964","36.9841,128.3709",,
"37.5790,126.9864","37.5807,126.9699","37.5810,126.9854","37.5794,126.9910","37.5830,126.9827",
"36.5766,128.7608","36.5775,128.7580","36.5654,128.7282",,,
"36.9920,127.1931","37.0055,127.2714","37.0812,127.4760",,,
"38.0115,127.0637","38.0067,127.0616",,,,
"37.9966,128.2005","38.1962,128.3451","38.0036,128.2338",,,
"35.8151,127.1539","35.8142,127.1572","35.8149,127.1499","35.8162,127.1494",,
"37.7269,128.5956","37.7319,128.5998","37.7316,128.5920","37.6331,128.5569","37.3668,128.3954","37.6895,128.7530"
"37.8308,128.4693","37.8297,128.4679","37.8308,128.4693","37.6482,127.6857",,
