"37.5523,127.3865","37.5014,127.4210",,
"37.7834,127.3493","37.7747,127.3563","37.7528,127.3330",
"37.8910,128.8277",,,
"36.7066,127.8162","36.7536,127.8354",,
"36.9885,128.3814","36.9831,128.3706","36.9858,128.3707","36.9999,128.3439"
"36.7615,128.0767","36.6538,128.0621",,
"37.4011,126.8081","37.3821,126.8357","37.3792,126.8393","37.3282,126.7577"
"37.3004,126.8232","37.3218,126.8308","37.3289,126.7896",
"38.1246,128.6280","38.0870,128.6656","38.0221,128.7270",
"37.1738,128.4997","37.1983,128.4867","37.1837,128.4706",
"37.5283,126.4577","37.5278,126.4365","37.6817,126.3231","37.5323,126.4271"
"37.4765,128.7216","37.3807,128.6609","37.3513,128.7892",
"37.9657,127.1316",,,
"37.1159,126.8830","37.1157,126.6821","37.1268,126.9983","37.1420,126.7167"
