가평,"37.8164,127.5286","37.7149,127.4909","37.7439,127.3525","37.7689,127.3687","37.7486,127.4749"
고성,"38.5864,128.3750","38.2929,128.5417","38.4808,128.4383",,
공주,"36.3651,127.1876","36.3712,127.1783","36.3696,127.1800",,
김유정역,"37.8325,127.5422","37.8182,127.7155",,,
단양,"36.9777,128.3624","36.9966,128.3968","36.8919,128.3406",,
부천,"37.5087,126.7422","37.5066,126.7442","37.4871,126.8124",,
안동,"36.5390,128.5179","36.5489,128.5276","36.5661,128.7356","36.5636,128.7323",
안산,"37.3138,126.8608","37.3150,126.8595","37.3010,126.8373","37.2840,126.5416","37.2489,126.6097"
여주,"37.3008,127.6568","37.2996,127.6534","37.4004,127.6590",,
오산,"37.1665,127.0567","37.1524,127.0684","37.1591,127.0623",,
인천,"37.2718,126.4492","37.2688,126.4708","37.2710,126.4616","37.2406,126.4736",
춘천,"37.9174,127.6954","37.9455,127.8144","37.9864,127.8088","37.8931,127.7769","37.8933,127.7234"
포천,"38.0705,127.3203","37.7781,127.1160","38.0659,127.3236","38.0494,127.3038","37.8279,127.1484"
